#width: 32
p d birth death 
2 0 11.8025 9.05936
2 0 9.31137 9.05306
2 0 9.88018 9.04964
2 0 10.1343 9.04268
2 0 10.8109 9.04127
2 0 9.06441 9.03661
2 0 11.1051 9.02501
2 0 10.4938 9.01572
2 0 9.523 9.01191
2 0 11.4732 9.00527
2 0 10.9785 9.00112
2 0 9.14856 9.0001
2 0 11.0558 8.98195
2 0 9.53192 8.97615
2 0 9.80448 8.97289
2 0 9.02537 8.96935
2 0 9.38698 8.9674
2 0 9.2096 8.94968
2 0 9.0408 8.93892
2 0 10.4977 8.93515
2 0 11.1195 8.93305
2 0 9.06574 8.93148
2 0 9.00423 8.91803
2 0 10.9769 8.91577
2 0 10.5168 8.91175
2 0 11.1492 8.90539
2 0 9.34397 8.90265
2 0 9.08274 8.90265
2 0 10.2469 8.90112
2 0 9.55818 8.89796
2 0 12.3792 8.89767
2 0 9.06536 8.89554
2 0 8.90694 8.8838
2 0 10.6769 8.88018
2 0 11.5378 8.87131
2 0 9.44897 8.84915
2 0 10.4701 8.84393
2 0 10.9453 8.84194
2 0 8.87335 8.83094
2 0 10.3072 8.82892
2 0 8.88413 8.82731
2 0 9.12597 8.82338
2 0 8.85965 8.81501
2 0 8.87058 8.81101
2 0 10.0524 8.80985
2 0 11.037 8.80948
2 0 10.8085 8.80297
2 0 10.3258 8.80215
2 0 9.85096 8.78756
2 0 8.8687 8.77471
2 0 12.9532 8.7647
2 0 13.5289 8.7634
2 0 9.7245 8.76287
2 0 9.58515 8.7593
2 0 8.76096 8.75926
2 0 9.4443 8.74967
2 0 8.85828 8.74768
2 0 9.50871 8.74118
2 0 9.89837 8.74079
2 0 9.48252 8.74002
2 0 8.91896 8.7397
2 0 9.21875 8.73715
2 0 8.94778 8.73487
2 0 10.4168 8.73336
2 0 9.01779 8.73201
2 0 9.89087 8.73032
2 0 9.14025 8.72914
2 0 10.1558 8.72063
2 0 8.79004 8.71718
2 0 10.0848 8.71339
2 0 9.11197 8.70323
2 0 14.0227 8.70285
2 0 10.8036 8.70038
2 0 9.13264 8.69987
2 0 13.8351 8.69787
2 0 9.11622 8.69736
2 0 9.45668 8.69654
2 0 9.17288 8.69243
2 0 10.9057 8.68409
2 0 8.8314 8.68315
2 0 8.83558 8.68177
2 0 8.84745 8.68033
2 0 8.81984 8.68003
2 0 9.28908 8.67325
2 0 8.81587 8.67325
2 0 11.6089 8.66412
2 0 10.2041 8.66186
2 0 9.29132 8.65794
2 0 9.15218 8.65739
2 0 12.9442 8.65158
2 0 8.89253 8.64876
2 0 9.49672 8.64519
2 0 12.2382 8.64373
2 0 10.4674 8.64242
2 0 9.39173 8.64016
2 0 8.94147 8.63998
2 0 9.31312 8.63836
2 0 8.69349 8.63645
2 0 8.68936 8.63638
2 0 8.8523 8.63188
2 0 9.2302 8.631
2 0 9.86371 8.61978
2 0 8.65381 8.61962
2 0 8.88208 8.61682
2 0 9.06065 8.61556
2 0 9.55099 8.61223
2 0 9.70444 8.60744
